bloque,item,valor
Mujeres,Servicios de apoyo tras formar una familia,3.47
Mujeres,Servicios de apoyo asequibles,3.51
Mujeres,Regulaciones favorecen emprender frente a ser asalariada,2.63
Mujeres,La cultura alienta por igual a mujeres y hombres,4.86
Mujeres,Mercados más accesibles para hombres,4.73
Mujeres,Contratación pública más accesible para hombres,2.88
Mujeres,Acceso a financiación más fácil para hombres,3.52
Mujeres,Capital semilla más fácil para hombres,3.69
Sostenibilidad,Priorizan su contribución social,4.89
Sostenibilidad,Integran responsabilidad social,5.34
Sostenibilidad,Inversores interesados en responsabilidad social,5.11
Sostenibilidad,Pagar impuestos como parte de la RSC,4.21
Sostenibilidad,Inversores satisfechos con el desempeño,5.33
Sostenibilidad,Igualdad de oportunidades para grupos minoritarios,4.80
Sostenibilidad,Aplican prácticas respetuosas con el medio ambiente,6.06
Sostenibilidad,Priorizan la eficiencia energética,5.90
Sostenibilidad,Ven lo ambiental como una oportunidad,5.66
Sostenibilidad,La sostenibilidad es clave en la cultura empresarial,5.58
Sostenibilidad,Ejemplos destacados vinculados a los ODS,5.99
Sostenibilidad,El gobierno regula el apoyo a startups sostenibles,5.71
Sostenibilidad,El gobierno apoya con subvenciones y fiscalidad,5.69
Financiación,Capital propio (equity),3.40
Financiación,Financiación mediante deuda,4.78
Financiación,Subvenciones gubernamentales,5.69
Financiación,Inversores informales (familia y amigos),4.01
Financiación,Business angels profesionales,3.76
Financiación,Capital riesgo (venture capital),3.79
Financiación,Ofertas públicas iniciales (IPO),2.54
Financiación,Prestamistas privados y crowdfunding,3.64
Financiación,Facilidad de deuda bancaria,4.75
Financiación,Servicios financieros a coste razonable,4.85
Financiación,Capital semilla en fase inicial,3.96
Financiación,Atraer inversores para crecer,3.94
Políticas gubernamentales,La contratación pública favorece a las nuevas empresas,5.03
Políticas gubernamentales,Apoyo como prioridad del gobierno nacional,4.81
Políticas gubernamentales,Apoyo como prioridad de los gobiernos locales,6.10
Políticas gubernamentales,Registrar una empresa a coste razonable,6.22
Políticas gubernamentales,Obtener permisos y licencias en una semana,4.23
Políticas gubernamentales,La carga fiscal no es excesiva,3.85
Políticas gubernamentales,Impuestos aplicados de forma predecible,4.49
Políticas gubernamentales,Gestionar la burocracia no es difícil,3.81
Programas de apoyo,Ayudas accesibles a través de una única agencia,6.55
Programas de apoyo,Parques científicos y tecnológicos,7.21
Programas de apoyo,Incubadoras de empresas eficaces,7.27
Programas de apoyo,Número adecuado de programas,6.37
Programas de apoyo,Personal competente y eficaz,6.76
Programas de apoyo,Cualquiera puede encontrar la ayuda que necesita,6.28
Programas de apoyo,Los programas son eficaces,6.11
Educación,Primaria y secundaria fomenta la creatividad,3.17
Educación,Primaria y secundaria forma en economía de mercado,2.80
Educación,Primaria y secundaria atiende al emprendimiento,2.39
Educación,La universidad prepara para emprender,3.69
Educación,Educación en negocios y gestión,5.80
Educación,Formación profesional y continua,4.99
Transferencia de I+D,Transferencia eficiente universidad-empresa,4.72
Transferencia de I+D,Igual acceso a I+D que las grandes empresas,4.99
Transferencia de I+D,Acceso asumible a tecnologías avanzadas,3.59
Transferencia de I+D,Subvenciones para adquirir tecnología,5.07
Transferencia de I+D,La base científica apoya a las nuevas empresas,5.59
Transferencia de I+D,Apoyo para comercializar ideas,4.59
Normas sociales y culturales,Apoya el éxito individual por esfuerzo propio,4.39
Normas sociales y culturales,Enfatiza la autosuficiencia y la iniciativa,3.92
Normas sociales y culturales,Fomenta la asunción de riesgos,3.07
Normas sociales y culturales,Fomenta la creatividad y la innovación,3.74
Normas sociales y culturales,Enfatiza la responsabilidad individual,4.07
Infraestructura,"Infraestructura física general (carreteras, residuos)",3.38
Infraestructura,Coste razonable de los servicios de comunicación,7.36
Infraestructura,Acceso rápido a servicios de comunicación,7.65
Infraestructura,Coste asumible de los servicios básicos,6.82
Infraestructura,Acceso a servicios básicos en un mes,7.08
Infraestructura,Oficinas asequibles en alquiler,5.70
Infraestructura,Espacios de producción asequibles en alquiler,4.59
