indicador,anio,pct
Buenas oportunidades en los próximos 6 meses,2024,27.1
Buenas oportunidades en los próximos 6 meses,2025,35.4
"Conocimientos, habilidades y experiencia",2024,47.1
"Conocimientos, habilidades y experiencia",2025,53.7
Miedo al fracaso,2024,50.1
Miedo al fracaso,2025,54.3
Conoce a un emprendedor reciente,2024,47.1
Conoce a un emprendedor reciente,2025,56.2
Emprender es buena opción profesional,2024,39.1
Emprender es buena opción profesional,2025,45.6
Difusión del emprendimiento en medios,2024,37.3
Difusión del emprendimiento en medios,2025,48.1
Triunfar da buen estatus social,2024,49.5
Triunfar da buen estatus social,2025,58.6
Facilidad para iniciar un negocio,2024,27.1
Facilidad para iniciar un negocio,2025,29.4
