indicador,anio,colectivo,pct
Modelos de referencia,2015,Población involucrada,54.4
Modelos de referencia,2016,Población involucrada,62.9
Modelos de referencia,2017,Población involucrada,57.7
Modelos de referencia,2018,Población involucrada,60.3
Modelos de referencia,2019,Población involucrada,58.7
Modelos de referencia,2020,Población involucrada,65.1
Modelos de referencia,2021,Población involucrada,60.5
Modelos de referencia,2022,Población involucrada,63.4
Modelos de referencia,2023,Población involucrada,66.3
Modelos de referencia,2024,Población involucrada,70.3
Modelos de referencia,2025,Población involucrada,70.4
Modelos de referencia,2015,Población no involucrada,38.6
Modelos de referencia,2016,Población no involucrada,36.7
Modelos de referencia,2017,Población no involucrada,36.0
Modelos de referencia,2018,Población no involucrada,38.2
Modelos de referencia,2019,Población no involucrada,47.4
Modelos de referencia,2020,Población no involucrada,38.2
Modelos de referencia,2021,Población no involucrada,40.3
Modelos de referencia,2022,Población no involucrada,40.7
Modelos de referencia,2023,Población no involucrada,52.5
Modelos de referencia,2024,Población no involucrada,44.0
Modelos de referencia,2025,Población no involucrada,53.8
Oportunidades,2015,Población involucrada,27.2
Oportunidades,2016,Población involucrada,26.9
Oportunidades,2017,Población involucrada,31.0
Oportunidades,2018,Población involucrada,26.1
Oportunidades,2019,Población involucrada,40.7
Oportunidades,2020,Población involucrada,17.9
Oportunidades,2021,Población involucrada,38.4
Oportunidades,2022,Población involucrada,24.3
Oportunidades,2023,Población involucrada,37.6
Oportunidades,2024,Población involucrada,32.2
Oportunidades,2025,Población involucrada,41.2
Oportunidades,2015,Población no involucrada,25.3
Oportunidades,2016,Población no involucrada,19.8
Oportunidades,2017,Población no involucrada,24.5
Oportunidades,2018,Población no involucrada,19.3
Oportunidades,2019,Población no involucrada,30.4
Oportunidades,2020,Población no involucrada,17.2
Oportunidades,2021,Población no involucrada,23.2
Oportunidades,2022,Población no involucrada,23.1
Oportunidades,2023,Población no involucrada,27.4
Oportunidades,2024,Población no involucrada,26.5
Oportunidades,2025,Población no involucrada,34.4
Habilidades,2015,Población involucrada,82.4
Habilidades,2016,Población involucrada,85.9
Habilidades,2017,Población involucrada,84.8
Habilidades,2018,Población involucrada,84.9
Habilidades,2019,Población involucrada,84.0
Habilidades,2020,Población involucrada,81.7
Habilidades,2021,Población involucrada,85.8
Habilidades,2022,Población involucrada,84.5
Habilidades,2023,Población involucrada,100.0
Habilidades,2024,Población involucrada,84.8
Habilidades,2025,Población involucrada,79.6
Habilidades,2015,Población no involucrada,43.4
Habilidades,2016,Población no involucrada,41.7
Habilidades,2017,Población no involucrada,40.0
Habilidades,2018,Población no involucrada,41.3
Habilidades,2019,Población no involucrada,43.9
Habilidades,2020,Población no involucrada,53.1
Habilidades,2021,Población no involucrada,46.5
Habilidades,2022,Población no involucrada,41.3
Habilidades,2023,Población no involucrada,46.0
Habilidades,2024,Población no involucrada,42.5
Habilidades,2025,Población no involucrada,49.1
Miedo al fracaso,2015,Población involucrada,30.8
Miedo al fracaso,2016,Población involucrada,31.9
Miedo al fracaso,2017,Población involucrada,32.8
Miedo al fracaso,2018,Población involucrada,34.4
Miedo al fracaso,2019,Población involucrada,35.5
Miedo al fracaso,2020,Población involucrada,52.7
Miedo al fracaso,2021,Población involucrada,40.5
Miedo al fracaso,2022,Población involucrada,42.9
Miedo al fracaso,2023,Población involucrada,37.0
Miedo al fracaso,2024,Población involucrada,31.3
Miedo al fracaso,2025,Población involucrada,37.7
Miedo al fracaso,2015,Población no involucrada,47.2
Miedo al fracaso,2016,Población no involucrada,49.1
Miedo al fracaso,2017,Población no involucrada,51.8
Miedo al fracaso,2018,Población no involucrada,44.0
Miedo al fracaso,2019,Población no involucrada,58.1
Miedo al fracaso,2020,Población no involucrada,70.0
Miedo al fracaso,2021,Población no involucrada,60.9
Miedo al fracaso,2022,Población no involucrada,57.8
Miedo al fracaso,2023,Población no involucrada,54.2
Miedo al fracaso,2024,Población no involucrada,52.5
Miedo al fracaso,2025,Población no involucrada,57.1
