anio,fase,valor
2015,Potenciales,6.8
2016,Potenciales,6.6
2017,Potenciales,7.6
2018,Potenciales,8.7
2019,Potenciales,7.0
2020,Potenciales,7.6
2021,Potenciales,8.2
2022,Potenciales,7.5
2023,Potenciales,7.7
2024,Potenciales,8.7
2025,Potenciales,9.9
2015,TEA,4.7
2016,TEA,5.3
2017,TEA,6.4
2018,TEA,4.9
2019,TEA,5.0
2020,TEA,4.2
2021,TEA,4.8
2022,TEA,5.0
2023,TEA,5.3
2024,TEA,5.7
2025,TEA,6.1
2015,Establecidas,11.8
2016,Establecidas,9.1
2017,Establecidas,10.8
2018,Establecidas,10.8
2019,Establecidas,10.3
2020,Establecidas,7.1
2021,Establecidas,7.9
2022,Establecidas,7.5
2023,Establecidas,7.5
2024,Establecidas,5.7
2025,Establecidas,8.8
